id,play_id,description,time,player_id,team,x,y
5663,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.5,Brandon Graham,away,83.96,26.11
6097,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.5,Etuini Ngata,away,83.35,24.48
6532,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.5,Nigel Bradham,away,82.9,23.66
6976,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.5,Fletcher Cox,away,83.51,25.74
7410,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.5,Rodney McLeod,away,81.51,25
7846,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.5,Jordan Hicks,away,84.09,25.33
8281,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.5,Ronald Darby,away,81.03,23.85
8724,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.5,Jalen Mills,away,79.34,38.62
9159,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.5,Caelan Kamuela Grugier-Hill,away,82.03,23.93
9596,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.5,Derek Barnett,away,83.91,23.72
430,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.6,ball,ball,85.27,23.99
437,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.6,DeSean Jackson,home,92.26,22.77
871,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.6,Ryan Fitzpatrick,home,91.57,22.77
1306,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.6,Demar Dotson,home,90.33,24.63
1741,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.6,Ryan Jensen,home,89.99,23.55
2181,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.6,Mike Evans,home,91.92,24.12
2615,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.6,Alexander Marpet,home,90.04,22.67
3050,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.6,Donovan Smith,home,90.68,22.49
3484,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.6,Caleb Benenoch,home,89.69,24.34
3918,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.6,Kenneth Barber,home,90.81,25.21
4357,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.6,William Cross,home,92.42,23.43
4792,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.6,O'Terrius Howard,home,92.07,24.4
5230,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.6,Malcolm Jenkins,away,80.24,27.19
5664,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.6,Brandon Graham,away,83.95,26.12
6098,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.6,Etuini Ngata,away,83.35,24.47
6533,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.6,Nigel Bradham,away,82.89,23.64
6977,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.6,Fletcher Cox,away,83.49,25.75
7411,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.6,Rodney McLeod,away,81.47,25
7847,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.6,Jordan Hicks,away,84.09,25.35
8282,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.6,Ronald Darby,away,81.04,23.7
8725,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.6,Jalen Mills,away,79.39,38.41
9160,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.6,Caelan Kamuela Grugier-Hill,away,81.98,23.87
9597,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.6,Derek Barnett,away,83.9,23.72
429,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.7,ball,ball,85.27,23.99
438,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.7,DeSean Jackson,home,92.17,22.83
872,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.7,Ryan Fitzpatrick,home,91.56,22.76
1307,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.7,Demar Dotson,home,90.32,24.62
1742,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.7,Ryan Jensen,home,90,23.56
2182,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.7,Mike Evans,home,91.95,24.13
2616,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.7,Alexander Marpet,home,89.98,22.7
3051,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.7,Donovan Smith,home,90.69,22.49
3485,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.7,Caleb Benenoch,home,89.7,24.34
3919,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.7,Kenneth Barber,home,90.79,25.17
4358,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.7,William Cross,home,92.38,23.44
4793,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.7,O'Terrius Howard,home,92.07,24.39
5231,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.7,Malcolm Jenkins,away,80.19,27.25
5665,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.7,Brandon Graham,away,83.92,26.15
6099,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.7,Etuini Ngata,away,83.34,24.45
6534,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.7,Nigel Bradham,away,82.87,23.62
6978,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.7,Fletcher Cox,away,83.48,25.75
7412,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.7,Rodney McLeod,away,81.41,25
7848,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.7,Jordan Hicks,away,84.07,25.35
8283,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.7,Ronald Darby,away,81.05,23.55
8726,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.7,Jalen Mills,away,79.44,38.21
9161,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.7,Caelan Kamuela Grugier-Hill,away,81.91,23.82
9598,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.7,Derek Barnett,away,83.87,23.73
428,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.8,ball,ball,85.27,23.99
439,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.8,DeSean Jackson,home,92.13,22.86
873,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.8,Ryan Fitzpatrick,home,91.52,22.75
1308,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.8,Demar Dotson,home,90.31,24.62
1743,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.8,Ryan Jensen,home,90,23.57
